client_ts,server_ts,market_ticker,yes_price,no_price,count,taker_side
1753708970135,1753708970,KXMLBGAME-25JUL28WSHHOU-HOU,68,32,7,yes
1753708981442,1753708981,KXMLBGAME-25JUL28TORBAL-TOR,51,49,1,yes
1753708981442,1753708981,KXMLBGAME-25JUL28TORBAL-TOR,51,49,203,yes
1753708995261,1753708995,KXMLBGAME-25JUL28SEAATH-SEA,53,47,9,yes
1753709010714,1753709010,KXMLBGAME-25JUL28WSHHOU-WSH,32,68,125,no
1753709012714,1753709012,KXMLBGAME-25JUL28PHICWS-PHI,67,33,14,yes
1753709031477,1753709031,KXMLBGAME-25JUL28TEXLAA-LAA,37,63,12,yes
1753709031775,1753709031,KXMLBGAME-25JUL28NYMSD-SD,54,46,16,yes
1753709060235,1753709060,KXMLBGAME-25JUL28WSHHOU-WSH,31,69,750,no
1753709060235,1753709060,KXMLBGAME-25JUL28WSHHOU-WSH,31,69,84,no
1753709060356,1753709060,KXMLBGAME-25JUL28WSHHOU-HOU,68,32,2904,yes
1753709124033,1753709123,KXMLBGAME-25JUL28NYMSD-NYM,47,53,2,yes
1753709190837,1753709190,KXMLBGAME-25JUL28TORBAL-TOR,51,49,18,yes
1753709226115,1753709225,KXMLBGAME-25JUL28SEAATH-ATH,48,52,2,yes
1753709264256,1753709264,KXMLBGAME-25JUL28TORBAL-TOR,51,49,100,yes
1753709316497,1753709316,KXMLBGAME-25JUL28TBNYY-TB,46,54,6,yes
1753709439836,1753709439,KXMLBGAME-25JUL28COLCLE-CLE,69,31,78,yes
1753709463075,1753709463,KXMLBGAME-25JUL28CHCMIL-MIL,49,51,3,yes
1753709596636,1753709596,KXMLBGAME-25JUL28TORBAL-TOR,51,49,75,yes
1753709603352,1753709603,KXMLBGAME-25JUL28MIASTL-STL,52,48,34,no
1753709626095,1753709626,KXMLBGAME-25JUL28NYMSD-SD,54,46,89,yes
1753709681956,1753709681,KXMLBGAME-25JUL28TEXLAA-TEX,65,35,22,yes
1753709706773,1753709706,KXMLBGAME-25JUL28COLCLE-CLE,69,31,21,yes
1753709782732,1753709782,KXMLBGAME-25JUL28TBNYY-NYY,55,45,55,yes
1753709805914,1753709805,KXMLBGAME-25JUL28SEAATH-ATH,48,52,2010,yes
1753709820493,1753709820,KXMLBGAME-25JUL28MIASTL-STL,52,48,18,yes
1753709825634,1753709825,KXMLBGAME-25JUL28CHCMIL-CHC,52,48,55,yes
1753709835092,1753709835,KXMLBGAME-25JUL28BOSMIN-MIN,51,49,18,yes
1753709837214,1753709837,KXMLBGAME-25JUL28MIASTL-MIA,49,51,492,yes
1753709850713,1753709850,KXMLBGAME-25JUL28TORBAL-BAL,50,50,19,yes
1753709850895,1753709850,KXMLBGAME-25JUL28PHICWS-PHI,67,33,35,yes
1753709851274,1753709851,KXMLBGAME-25JUL28CHCMIL-MIL,49,51,578,yes
1753709873834,1753709873,KXMLBGAME-25JUL28TEXLAA-LAA,37,63,31,yes
1753709877034,1753709876,KXMLBGAME-25JUL28NYMSD-NYM,47,53,1,yes
1753709878401,1753709878,KXMLBGAME-25JUL28ATLKC-KC,40,60,807,yes
1753709884075,1753709884,KXMLBGAME-25JUL28NYMSD-NYM,47,53,75,yes
1753709951775,1753709951,KXMLBGAME-25JUL28COLCLE-CLE,69,31,17,yes
1753709956733,1753709956,KXMLBGAME-25JUL28TBNYY-NYY,55,45,10,yes
1753709975433,1753709975,KXMLBGAME-25JUL28NYMSD-NYM,47,53,1,yes
1753709997196,1753709997,KXMLBGAME-25JUL28ARIDET-DET,55,45,1,yes
1753710011053,1753710011,KXMLBGAME-25JUL28TEXLAA-TEX,65,35,15,yes
